n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilite,observations,date_maj
SDE07,SDE07,E Born,FR*S07*P07191*A,ROCHEMAURE_Place des Brassieres,Place des Brassieres 07400 ROCHEMAURE,07191,4.70472800,44.58802500,,FR*S07*E07191*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07197*A,ROIFFIEUX_Place de la Mairie,Place de la Mairie 07100 ROIFFIEUX,07197,4.65860545,45.22726404,,FR*S07*E07197*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07197*A,ROIFFIEUX_Place de la Mairie,Place de la Mairie 07100 ROIFFIEUX,07197,4.65860545,45.22726404,,FR*S07*E07197*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07199*A,ROSIERES_Place du Village,Place du Village 07260 ROSIERES,07199,4.25520700,44.48219900,,FR*S07*E07199*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07199*A,ROSIERES_Place du Village,Place du Village 07260 ROSIERES,07199,4.25520700,44.48219900,,FR*S07*E07199*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07201*A,RUOMS_Place Général de Gaulle,Place Général de Gaulle 07120 RUOMS,07201,4.34245600,44.45395600,,FR*S07*E07201*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07201*A,RUOMS_Place Général de Gaulle,Place Général de Gaulle 07120 RUOMS,07201,4.34245600,44.45395600,,FR*S07*E07201*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07202*A,SABLIERES_Le Village,Le Village 07260 SABLIERES,07202,4.07317400,44.53229200,,FR*S07*E07202*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07202*A,SABLIERES_Le Village,Le Village 07260 SABLIERES,07202,4.07317400,44.53229200,,FR*S07*E07202*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07203*A,SAGNES ET GOUDOULET_Les Sagnes,Les Sagnes 07450 SAGNES ET GOUDOULET,07203,4.22642800,44.79045000,,FR*S07*E07203*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07203*A,SAGNES ET GOUDOULET_Les Sagnes,Les Sagnes 07450 SAGNES ET GOUDOULET,07203,4.22642800,44.79045000,,FR*S07*E07203*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07204*A,ST AGREVE_Place de Chantoisel,Place de Chantoisel 07320 ST AGREVE,07204,4.39372200,45.00994400,,FR*S07*E07204*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07204*A,ST AGREVE_Place de Chantoisel,Place de Chantoisel 07320 ST AGREVE,07204,4.39372200,45.00994400,,FR*S07*E07204*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07205*A,ST ALBAN D AY_Font Benite,Font Benite 07790 ST ALBAN D AY,07205,4.63847100,45.18898300,,FR*S07*E07205*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07205*A,ST ALBAN D AY_Font Benite,Font Benite 07790 ST ALBAN D AY,07205,4.63847100,45.18898300,,FR*S07*E07205*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07207*A,ST ALBAN AURIOLLES_Place Aristide Briand,Place Aristide Briand 07120 ST ALBAN AURIOLLES,07207,4.29988300,44.42608800,,FR*S07*E07207*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07207*A,ST ALBAN AURIOLLES_Place Aristide Briand,Place Aristide Briand 07120 ST ALBAN AURIOLLES,07207,4.29988300,44.42608800,,FR*S07*E07207*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07229*A,ST DIDIER SOUS AUBENAS_Place des Vignettes,Place des Vignettes 07200 ST DIDIER SOUS AUBENAS,07229,4.40901200,44.61236400,,FR*S07*E07229*A*B1*D,43.00,combo,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07229*A,ST DIDIER SOUS AUBENAS_Place des Vignettes,Place des Vignettes 07200 ST DIDIER SOUS AUBENAS,07229,4.40901200,44.61236400,,FR*S07*E07229*A*B1*G,43.00,A/C,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07231*A,ST ETIENNE DE FONTBELLON_Rue de la Mairie,Rue de la Mairie 07200 ST ETIENNE DE FONTBELLON,07231,4.38268800,44.59964600,,FR*S07*E07231*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07231*A,ST ETIENNE DE FONTBELLON_Rue de la Mairie,Rue de la Mairie 07200 ST ETIENNE DE FONTBELLON,07231,4.38268800,44.59964600,,FR*S07*E07231*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07232*A,ST ETIENNE DE LUGDARES_Le Village,Le Village 07590 ST ETIENNE DE LUGDARES,07232,3.95545400,44.65122800,,FR*S07*E07232*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07232*A,ST ETIENNE DE LUGDARES_Le Village,Le Village 07590 ST ETIENNE DE LUGDARES,07232,3.95545400,44.65122800,,FR*S07*E07232*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07235*A,STE EULALIE_Place du Marche,Place du Marche 07510 STE EULALIE,07235,4.18948800,44.80924700,,FR*S07*E07235*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07235*A,STE EULALIE_Place du Marche,Place du Marche 07510 STE EULALIE,07235,4.18948800,44.80924700,,FR*S07*E07235*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07236*A,ST FELICIEN_Place du Martouret,Place du Martouret 07410 ST FELICIEN,07236,4.62537600,45.08545600,,FR*S07*E07236*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07236*A,ST FELICIEN_Place du Martouret,Place du Martouret 07410 ST FELICIEN,07236,4.62537600,45.08545600,,FR*S07*E07236*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07240*A,ST GEORGES LES BAINS_Le Blod,Le Blod 07800 ST GEORGES LES BAINS,07240,4.82973400,44.85609400,,FR*S07*E07240*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07240*A,ST GEORGES LES BAINS_Le Blod,Le Blod 07800 ST GEORGES LES BAINS,07240,4.82973400,44.85609400,,FR*S07*E07240*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07241*A,ST GERMAIN_Place du Champ des Pauvres,Place du Champ des Pauvres 07170 ST GERMAIN,07241,4.45123100,44.55526100,,FR*S07*E07241*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07241*A,ST GERMAIN_Place du Champ des Pauvres,Place du Champ des Pauvres 07170 ST GERMAIN,07241,4.45123100,44.55526100,,FR*S07*E07241*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07245*A,ST JEAN DE MUZOLS_Rue Centrale,Rue Centrale 07300 ST JEAN DE MUZOLS,07245,4.81534600,45.08348600,,FR*S07*E07245*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
